req_id,t,size,op,seq,key,pred_ms,assigned,actual_ms,node_scale_before,node_scale_after
188,46627656.972,3239,1,1,440,1.000,8,9.004,0.500,5.332
189,46627656.988,63963136,0,1,482,1.000,9,78.086,0.500,19.363
190,46627657.005,60817408,1,1,961,1.000,1,75.325,0.500,9.907
192,46627657.021,3982,0,0,311,1.000,3,4.020,0.500,10.466
193,46627657.037,3564,1,0,47,1.000,4,0.503,0.500,1.392
194,46627657.054,2933,0,1,343,1.000,5,0.005,0.500,29.406
195,46627657.070,3533,1,0,382,1.000,6,9.005,0.500,5.572
196,46627657.086,4016,1,0,308,1.000,7,0.004,0.500,15.493
197,46627657.102,62914560,0,0,768,1.000,8,172.686,0.500,13.700
198,46627657.118,2797,0,1,119,1.000,9,2.005,0.500,18.495
199,46627657.135,1249,1,0,991,1.000,1,9.006,0.500,9.862
201,46627657.151,4104,0,1,278,1.000,3,36.020,0.500,11.743
202,46627657.167,1405,0,1,607,1.000,4,4.502,0.500,1.547
203,46627657.185,78643200,1,0,911,1.000,5,9.606,0.500,28.416
204,46627657.201,4353,0,0,891,1.000,6,1.004,0.500,5.344
205,46627657.217,4384,1,0,409,1.000,7,4.004,0.500,14.918
206,46627657.233,3850,0,0,214,1.000,8,6.006,0.500,13.315
207,46627657.250,4962,0,0,430,1.000,9,4.003,0.500,17.770
208,46627657.267,90177536,0,0,897,1.000,1,183.609,0.500,18.549
210,46627657.283,52428800,1,0,141,1.000,3,40.584,0.500,13.186
211,46627657.306,2699,1,0,273,1.000,4,0.002,0.500,1.470
212,46627657.322,3221,0,1,385,1.000,5,1.005,0.500,27.046
213,46627657.338,4263,0,0,425,1.000,6,4.004,0.500,5.277
214,46627657.359,2910,0,0,168,1.000,7,0.003,0.500,14.172
215,46627657.376,1201,0,0,344,1.000,8,3.006,0.500,12.800
216,46627657.392,3024,1,1,336,1.000,9,1.005,0.500,16.932
217,46627657.412,2907,1,1,858,1.000,1,4.006,0.500,17.822
219,46627657.429,1568,0,0,459,1.000,3,36.028,0.500,14.328
220,46627657.445,4531,0,0,231,1.000,4,1.502,0.500,1.472
222,46627657.462,3649,0,0,875,1.000,6,9.003,0.500,5.463
223,46627657.477,2849,0,1,211,1.000,7,4.004,0.500,13.664
224,46627657.496,3745,0,0,203,1.000,8,4.004,0.500,12.360
225,46627657.517,56623104,1,1,958,1.000,9,169.678,0.500,24.569
226,46627657.533,2937,0,0,943,1.000,1,1.005,0.500,16.981
228,46627657.567,3245,0,0,495,1.000,3,4.024,0.500,13.812
229,46627657.584,97517568,0,0,956,1.000,4,195.944,0.500,11.195
231,46627657.601,4102,1,0,201,1.000,6,1.004,0.500,5.240
232,46627657.623,4429,0,0,754,1.000,7,4.003,0.500,13.181
233,46627657.640,3180,1,0,37,1.000,8,6.003,0.500,12.042
234,46627657.658,4953,1,1,692,1.000,9,2.006,0.500,23.441
235,46627657.697,4895,1,0,251,1.000,1,6.005,0.500,16.432
237,46627657.725,1910,0,0,645,1.000,3,8.016,0.500,13.523
238,46627657.748,3084,0,0,594,1.000,4,3.003,0.500,10.786
240,46627657.768,3908,0,1,33,1.000,6,6.004,0.500,5.278
241,46627657.793,3632,0,1,371,1.000,7,8.005,0.500,12.922
242,46627657.812,4806,1,0,540,1.000,8,4.006,0.500,11.640
243,46627657.845,3025,1,0,581,1.000,9,3.005,0.500,22.419
244,46627657.918,79691776,1,1,982,1.000,1,117.568,0.500,21.489
246,46627657.957,4547,1,1,760,1.000,3,36.016,0.500,14.647
247,46627657.977,2900,0,1,70,1.000,4,0.503,0.500,10.271
249,46627657.997,3060,1,1,374,1.000,6,1.004,0.500,5.065
250,46627658.031,1475,1,0,537,1.000,7,6.004,0.500,12.576
251,46627658.085,4536,1,1,807,1.000,8,5.004,0.500,11.308
252,46627658.110,3918,0,0,631,1.000,9,8.005,0.500,21.699
253,46627658.139,3788,0,0,372,1.000,1,5.006,0.500,20.665
255,46627658.183,3058,1,1,11,1.000,3,32.020,0.500,15.516
256,46627658.206,4163,1,1,388,1.000,4,0.002,0.500,9.758
258,46627658.225,2204,0,0,963,1.000,6,9.005,0.500,5.262
259,46627658.244,1399,1,1,841,1.000,7,7.009,0.500,12.298
260,46627658.263,2044,0,0,941,1.000,8,2.004,0.500,10.843
261,46627658.281,1985,1,1,466,1.000,9,6.004,0.500,20.914
262,46627658.301,1557,1,1,478,1.000,1,5.004,0.500,19.882
264,46627658.319,3695,1,0,319,1.000,3,36.024,0.500,16.541
265,46627658.337,4614,0,0,682,1.000,4,3.502,0.500,9.445
267,46627658.355,2942,0,0,129,1.000,6,0.004,0.500,4.999
268,46627658.372,1695,1,0,139,1.000,7,1.004,0.500,11.733
269,46627658.390,3863,0,0,840,1.000,8,2.003,0.500,10.401
270,46627658.407,2799,1,1,228,1.000,9,9.004,0.500,20.318
271,46627658.425,2122,1,0,991,1.000,1,0.003,0.500,18.888
273,46627658.442,1257,1,1,895,1.000,3,32.020,0.500,17.315
274,46627658.459,1053,1,1,414,1.000,4,2.002,0.500,9.073
276,46627658.477,1793,1,0,70,1.000,6,4.003,0.500,4.949
277,46627658.495,4502,1,0,229,1.000,7,2.004,0.500,11.247
278,46627658.512,1503,0,0,4,1.000,8,6.005,0.500,10.181
279,46627658.529,3640,0,0,799,1.000,9,6.004,0.500,19.603
280,46627658.546,2449,0,1,72,1.000,1,7.003,0.500,18.294
282,46627658.563,3718,0,1,252,1.000,3,8.020,0.500,16.851
283,46627658.580,2643,0,1,609,1.000,4,0.002,0.500,8.619
285,46627658.598,1132,0,1,172,1.000,6,9.003,0.500,5.152
286,46627658.614,75497472,1,0,648,1.000,7,13.420,0.500,11.355
287,46627658.631,4074,0,0,127,1.000,8,4.005,0.500,9.873
288,46627658.648,3649,0,1,119,1.000,9,8.006,0.500,19.023
289,46627658.665,1662,0,1,65,1.000,1,5.003,0.500,17.629
291,46627658.682,3483,0,0,810,1.000,3,16.028,0.500,16.809
292,46627658.699,91226112,0,0,421,1.000,4,114.810,0.500,13.929
294,46627658.716,4773,0,0,724,1.000,6,9.004,0.500,5.344
295,46627658.733,1900,0,0,924,1.000,7,5.006,0.500,11.038
296,46627658.750,4811,0,0,691,1.000,8,0.005,0.500,9.379
297,46627658.767,3591,0,1,133,1.000,9,9.005,0.500,18.522
298,46627658.784,2315,1,0,853,1.000,1,3.004,0.500,16.898
301,46627658.801,3638,0,1,594,1.000,4,1.503,0.500,13.308
303,46627658.819,95420416,1,1,456,1.000,6,23.354,0.500,6.245
304,46627658.836,1388,0,0,880,1.000,7,7.004,0.500,10.836
305,46627658.857,3093,0,1,102,1.000,8,3.007,0.500,9.061
306,46627658.874,3900,0,1,220,1.000,9,6.005,0.500,17.896
307,46627658.891,1218,1,0,766,1.000,1,0.003,0.500,16.053
312,46627658.909,3171,0,0,561,1.000,6,6.005,0.500,6.233
314,46627658.925,4642,0,1,807,1.000,8,3.004,0.500,8.758
315,46627658.943,1164,1,0,492,1.000,9,4.007,0.500,17.202
316,46627658.960,4576,1,1,859,1.000,1,4.004,0.500,15.451
321,46627658.976,89128960,1,0,98,1.000,6,15.361,0.500,6.689
323,46627659.002,4838,1,0,468,1.000,8,8.004,0.500,8.720
324,46627659.022,3564,1,0,615,1.000,9,6.004,0.500,16.642
325,46627659.041,62914560,1,0,150,1.000,1,4.966,0.500,14.927
330,46627659.059,3614,0,0,678,1.000,6,5.005,0.500,6.605
332,46627659.078,94371840,1,1,165,1.000,8,287.185,0.500,22.643
333,46627659.119,3985,1,1,729,1.000,9,4.004,0.500,16.010
334,46627659.135,2089,1,1,290,1.000,1,8.005,0.500,14.580
339,46627659.150,2788,1,1,422,1.000,6,4.004,0.500,6.475
341,46627659.166,4423,1,1,94,1.000,8,3.007,0.500,21.662
342,46627659.182,4351,0,1,639,1.000,9,1.003,0.500,15.260
343,46627659.197,2724,0,1,901,1.000,1,9.005,0.500,14.302
348,46627659.211,3554,1,1,660,1.000,6,5.003,0.500,6.401
350,46627659.225,2924,1,1,1,1.000,8,5.004,0.500,20.829
351,46627659.239,3162,1,0,916,1.000,9,5.003,0.500,14.747
352,46627659.252,1511,0,0,600,1.000,1,0.005,0.500,13.587
357,46627659.266,3158,0,1,144,1.000,6,3.005,0.500,6.232
359,46627659.279,4393,1,0,199,1.000,8,1.003,0.500,19.837
360,46627659.295,4552,1,1,897,1.000,9,7.003,0.500,14.360
361,46627659.309,98566144,0,1,68,1.000,1,9.161,0.500,13.366
366,46627659.329,2066,0,1,510,1.000,6,4.004,0.500,6.120
369,46627659.344,2685,1,0,715,1.000,9,0.005,0.500,13.642
370,46627659.359,1574,0,0,817,1.000,1,3.007,0.500,12.848
375,46627659.373,4453,1,1,657,1.000,6,7.004,0.500,6.164
378,46627659.394,1721,0,1,577,1.000,9,7.004,0.500,13.310
379,46627659.414,2609,0,0,896,1.000,1,1.003,0.500,12.255
384,46627659.428,76546048,0,1,218,1.000,6,35.986,0.500,7.655
388,46627659.446,4067,1,1,617,1.000,1,9.004,0.500,12.093
393,46627659.460,1203,0,1,984,1.000,6,1.007,0.500,7.323
397,46627659.474,3468,0,1,91,1.000,1,7.004,0.500,11.838
402,46627659.489,2092,1,1,91,1.000,6,5.004,0.500,7.207
406,46627659.502,4438,0,0,442,1.000,1,6.003,0.500,11.547
411,46627659.515,2095,0,1,526,1.000,6,6.004,0.500,7.147
415,46627659.529,2311,1,1,787,1.000,1,5.006,0.500,11.220
420,46627659.542,1434,1,1,5,1.000,6,6.004,0.500,7.090
429,46627659.556,3996,0,0,436,1.000,6,6.006,0.500,7.036
438,46627659.574,4810,0,0,895,1.000,6,9.005,0.500,7.134
447,46627659.589,65011712,0,1,26,1.000,6,68.722,0.500,10.213
456,46627659.602,1207,1,0,910,1.000,6,8.007,0.500,10.103
465,46627659.616,2311,0,1,39,1.000,6,1.005,0.500,9.648
474,46627659.629,2704,1,0,492,1.000,6,1.003,0.500,9.216
483,46627659.642,3332,0,1,126,1.000,6,7.003,0.500,9.105
492,46627659.656,3576,1,1,86,1.000,6,8.005,0.500,9.050
501,46627659.670,2567,0,1,961,1.000,6,3.004,0.500,8.748
510,46627659.684,4118,1,1,70,1.000,6,1.004,0.500,8.361
424,46627659.701,4813,0,1,196,1.000,1,2.004,0.500,10.759
310,46627659.714,2056,0,1,502,1.000,4,1.003,0.500,12.692
221,46627659.727,1373,0,1,314,1.000,5,3.003,0.500,25.844
433,46627659.744,4582,1,1,8,1.000,1,1.003,0.500,10.271
230,46627659.758,2798,0,0,120,1.000,5,1.004,0.500,24.602
442,46627659.771,1735,0,0,664,1.000,1,0.016,0.500,9.758
155,46634910.191,58720256,1,1,405,1.000,2,2501.056,0.500,146.887
300,46634910.436,3457,1,0,726,1.000,3,28.016,0.500,17.370
319,46634910.480,2126,0,1,934,1.000,4,4.502,0.500,12.283
239,46634910.518,2411,0,0,93,1.000,5,3.010,0.500,23.522
519,46634910.554,4430,0,1,24,1.000,6,9.007,8.361,8.393
313,46634910.590,102760448,0,0,466,1.000,7,181.200,0.500,19.354
368,46634910.626,52428800,0,0,470,1.000,8,134.911,0.500,25.591
387,46634910.661,77594624,0,1,495,1.000,9,31.598,0.500,14.224
451,46634910.696,82837504,0,1,186,1.000,1,13.348,0.500,9.938
164,46634910.728,2631,1,0,686,1.000,2,16.224,0.500,140.354
309,46634910.760,2692,1,0,331,1.000,3,36.032,0.500,18.303
328,46634910.795,5000,0,0,90,1.000,4,2.503,0.500,11.794
248,46634910.830,2293,0,1,409,1.000,5,7.005,0.500,22.696
528,46634910.862,61865984,1,0,268,1.000,6,11.947,8.361,8.571
322,46634910.894,1206,0,1,922,1.000,7,3.005,0.500,18.537
377,46634910.925,2684,0,0,313,1.000,8,7.005,0.500,24.662
396,46634910.956,1827,0,0,768,1.000,9,8.005,0.500,13.913
460,46634910.989,72351744,0,0,680,1.000,1,83.857,0.500,13.634
173,46634911.021,94371840,0,0,131,1.000,2,543.368,0.500,160.505
318,46634911.059,4828,0,0,776,1.000,3,8.056,0.500,17.790
337,46634911.091,1691,1,0,69,1.000,4,4.502,0.500,11.429
257,46634911.122,5056,1,1,522,1.000,5,6.008,0.500,21.862
537,46634911.154,3146,0,1,101,1.000,6,7.005,8.361,8.492
331,46634911.185,81788928,1,0,241,1.000,7,15.798,0.500,18.400
386,46634911.219,4719,1,1,114,1.000,8,4.006,0.500,23.629
405,46634911.252,2083,1,1,782,1.000,9,1.004,0.500,13.268
469,46634911.358,4465,0,1,340,1.000,1,5.005,0.500,13.202
182,46634911.395,4758,0,0,462,1.000,2,0.152,0.500,152.487
327,46634911.433,1513,0,0,66,1.000,3,28.024,0.500,18.302
346,46634911.468,2791,1,1,594,1.000,4,3.503,0.500,11.033
266,46634911.502,1305,1,0,647,1.000,5,1.005,0.500,20.819
546,46634911.539,2525,1,0,82,1.000,6,7.005,8.361,8.418
340,46634911.575,3717,1,0,582,1.000,7,2.006,0.500,17.580
395,46634911.612,4013,1,1,881,1.000,8,5.005,0.500,22.698
414,46634911.647,1569,1,0,103,1.000,9,4.003,0.500,12.805
478,46634911.683,2216,0,0,574,1.000,1,1.006,0.500,12.592
191,46634911.716,2151,1,0,397,1.000,2,0.064,0.500,144.866
336,46634911.751,1714,1,0,911,1.000,3,8.024,0.500,17.788
355,46634911.784,2701,0,1,246,1.000,4,0.002,0.500,10.481
275,46634911.820,2025,0,1,459,1.000,5,2.003,0.500,19.878
555,46634911.855,2563,0,1,437,1.000,6,0.004,8.361,7.997
349,46634911.889,4200,1,0,997,1.000,7,6.006,0.500,17.002
404,46634911.923,3855,1,0,424,1.000,8,0.004,0.500,21.563
423,46634911.957,3231,1,0,969,1.000,9,7.003,0.500,12.515
487,46634911.991,1571,0,0,999,1.000,1,1.005,0.500,12.013
200,46634912.024,2500,0,0,892,1.000,2,56.056,0.500,140.425
345,46634912.058,85983232,0,1,553,1.000,3,56.508,0.500,19.724
364,46634912.090,4427,1,1,217,1.000,4,3.002,0.500,10.107
284,46634912.123,1805,1,0,430,1.000,5,7.006,0.500,19.235
564,46634912.156,3120,0,1,848,1.000,6,3.004,8.361,7.748
358,46634912.190,1083,0,1,862,1.000,7,4.005,0.500,16.352
413,46634912.223,4068,1,1,170,1.000,8,3.004,0.500,20.635
432,46634912.255,66060288,0,0,766,1.000,9,96.791,0.500,16.728
496,46634912.288,2105,0,0,737,1.000,1,4.004,0.500,11.613
209,46634912.322,3184,1,1,59,1.000,2,56.096,0.500,136.209
354,46634912.354,3733,0,0,967,1.000,3,12.020,0.500,19.339
373,46634912.387,4406,1,0,510,1.000,4,2.002,0.500,9.702
293,46634912.420,1150,0,1,586,1.000,5,8.005,0.500,18.673
573,46634912.452,3543,0,0,524,1.000,6,1.003,8.361,7.411
