req_id,t,size,op,seq,key,pred_ms,assigned,actual_ms,node_scale_before,node_scale_after
249,46385258.314,3733,0,0,967,3.299,7,0.005,0.500,1.038
362,46385258.330,1096,0,0,613,2.484,9,6.004,0.500,1.283
250,46385258.346,2686,1,0,236,3.077,1,9.004,0.500,1.212
263,46385258.362,3774,0,1,54,3.204,4,2.003,0.500,0.620
315,46385258.378,1668,0,1,463,2.644,5,2.004,0.500,1.066
246,46385258.394,2634,0,1,4,2.944,6,2.003,0.500,1.004
258,46385258.410,1950,1,0,383,2.850,7,4.003,0.500,1.056
371,46385258.426,2321,0,0,355,2.956,9,7.008,0.500,1.337
265,46385258.442,1341,0,0,878,2.603,1,2.005,0.500,1.190
269,46385258.458,1315,0,1,355,2.501,4,4.002,0.500,0.669
320,46385258.474,3170,1,1,663,3.099,5,7.005,0.500,1.126
248,46385258.490,71303168,1,0,40,35.053,6,7.488,0.500,0.964
267,46385258.506,100663296,0,1,226,35.228,7,32.633,0.500,1.050
375,46385258.522,3643,0,1,188,3.178,9,1.004,0.500,1.286
278,46385258.538,4490,1,0,661,3.478,1,7.005,0.500,1.231
271,46385258.554,4397,1,0,228,3.461,4,3.003,0.500,0.679
326,46385258.570,2741,0,0,93,3.072,5,9.004,0.500,1.216
273,46385258.586,4067,1,1,617,3.292,6,4.005,0.500,0.977
268,46385258.601,1313,0,0,905,2.590,7,2.007,0.500,1.036
381,46385258.617,2413,1,0,400,2.999,9,3.005,0.500,1.272
281,46385258.633,3862,0,1,335,3.222,1,0.007,0.500,1.170
282,46385258.649,4993,1,1,276,3.460,4,4.503,0.500,0.710
327,46385258.665,4613,0,0,36,3.465,5,5.004,0.500,1.227
274,46385258.681,2076,0,0,684,2.880,6,9.005,0.500,1.085
288,46385258.697,2566,0,1,116,2.926,7,5.004,0.500,1.070
384,46385258.723,1632,0,1,110,2.631,9,6.006,0.500,1.322
285,46385258.741,2083,1,1,782,2.799,1,4.005,0.500,1.183
284,46385258.757,3714,1,0,511,3.324,4,2.503,0.500,0.712
329,46385258.773,3331,1,1,54,3.136,5,7.005,0.500,1.278
286,46385258.789,2466,1,1,690,2.916,6,9.005,0.500,1.185
303,46385258.805,4424,0,1,596,3.326,7,3.005,0.500,1.061
404,46385258.821,1282,1,1,932,2.488,9,2.004,0.500,1.297
290,46385258.843,3968,1,1,732,3.272,1,4.003,0.500,1.185
292,46385258.865,2311,1,1,787,2.870,4,0.502,0.500,0.685
331,46385258.881,3130,0,0,373,3.167,5,7.008,0.500,1.324
287,46385258.897,87031808,0,1,612,34.043,6,14.202,0.500,1.146
317,46385258.913,2142,1,0,606,2.915,7,8.003,0.500,1.145
415,46385258.929,1115,0,0,431,2.494,9,6.004,0.500,1.352
299,46385258.945,2753,0,0,343,3.075,1,6.003,0.500,1.223
301,46385258.961,3588,0,1,333,3.166,4,0.502,0.500,0.659
338,46385258.977,2402,0,1,678,2.881,5,1.005,0.500,1.276
342,46385258.992,68157440,1,0,922,34.678,6,6.849,0.500,1.099
323,46385259.008,2943,1,0,557,3.145,7,7.005,0.500,1.200
418,46385259.024,2666,1,1,381,2.972,9,6.007,0.500,1.386
304,46385259.040,1540,0,1,734,2.595,1,1.008,0.500,1.181
307,46385259.056,4575,1,1,932,3.387,4,3.002,0.500,0.670
391,46385259.072,3810,1,0,38,3.345,6,0.007,0.500,1.044
328,46385259.088,3979,0,1,291,3.244,7,9.015,0.500,1.279
423,46385259.104,1147,0,0,924,2.511,9,6.005,0.500,1.436
305,46385259.119,3816,1,0,171,3.346,1,8.004,0.500,1.242
310,46385259.135,4467,1,1,641,3.367,4,1.002,0.500,0.651
394,46385259.152,1799,1,0,455,2.796,6,4.005,0.500,1.064
306,46385259.168,82837504,1,0,983,36.331,1,8.233,0.500,1.191
314,46385259.184,2008,0,1,553,2.762,4,3.002,0.500,0.673
402,46385259.199,2434,0,0,709,2.988,6,9.005,0.500,1.161
312,46385259.215,2748,1,1,271,2.993,1,2.006,0.500,1.165
318,46385259.231,56623104,0,0,522,30.686,4,14.326,0.500,0.663
416,46385259.246,2996,1,0,960,3.158,6,1.007,0.500,1.119
348,46385259.262,1494,1,0,764,2.675,1,4.004,0.500,1.182
347,46385259.277,4318,0,0,95,3.412,4,0.002,0.500,0.630
417,46385259.294,87031808,0,1,423,34.043,6,30.635,0.500,1.108
349,46385259.314,2105,0,0,737,2.889,1,1.003,0.500,1.140
369,46385259.331,1421,1,1,208,2.551,4,3.002,0.500,0.657
350,46385259.348,2800,0,0,571,3.087,1,3.003,0.500,1.132
372,46385259.364,4428,0,0,161,3.432,4,0.002,0.500,0.624
361,46385259.398,4214,0,0,128,3.393,1,3.004,0.500,1.119
364,46385259.411,2646,1,1,482,2.966,1,4.004,0.500,1.131
376,46385259.426,1252,1,1,594,2.474,4,3.502,0.500,0.664
379,46385259.439,2812,0,0,776,3.090,4,1.502,0.500,0.655
341,46385646.374,56623104,0,0,188,30.686,5,39.185,0.500,1.276
435,46385646.433,2655,1,1,130,2.969,6,6.005,1.108,1.154
336,46385646.450,82837504,0,0,558,33.513,7,255.690,0.500,1.596
188,46385646.467,70254592,0,0,298,32.258,8,139.425,0.500,1.254
428,46385646.482,2572,0,0,588,3.027,9,6.004,1.436,1.463
366,46385646.498,2308,0,1,817,2.854,1,9.005,0.500,1.232
383,46385646.513,3812,0,0,470,3.315,4,4.002,0.500,0.683
345,46385646.527,1169,1,1,862,2.433,5,5.007,0.500,1.315
442,46385646.542,62914560,0,1,807,31.541,6,25.397,1.108,1.136
355,46385646.556,2730,0,1,75,2.969,7,5.007,0.500,1.601
200,46385646.570,4865,0,0,141,3.508,8,3.005,0.500,1.234
434,46385646.585,2407,1,1,197,2.899,9,3.004,1.436,1.442
370,46385646.610,1482,1,0,771,2.670,1,7.005,0.500,1.302
385,46385646.635,2507,1,0,262,3.027,4,3.502,0.500,0.706
346,46385646.649,1784,1,1,848,2.696,5,3.006,0.500,1.305
443,46385646.664,102760448,1,0,308,38.251,6,15.015,1.108,1.099
409,46385646.677,3460,0,0,918,3.242,7,8.004,0.500,1.644
218,46385646.691,4429,1,0,333,3.467,8,1.004,0.500,1.187
436,46385646.704,1137,1,1,185,2.417,9,8.004,1.436,1.535
388,46385646.717,4770,1,1,219,3.421,1,6.004,0.500,1.324
390,46385646.730,4851,0,0,878,3.506,4,2.503,0.500,0.707
354,46385646.743,1578,1,0,81,2.710,5,6.004,0.500,1.350
451,46385646.756,4516,1,1,548,3.376,6,1.005,1.108,1.059
411,46385646.769,2740,1,1,819,2.991,7,6.006,0.500,1.662
219,46385646.782,4045,0,0,282,3.361,8,6.004,0.500,1.217
446,46385646.795,2231,1,1,525,2.846,9,9.019,1.436,1.617
389,46385646.809,1132,1,1,43,2.415,1,5.005,0.500,1.362
400,46385646.829,3172,1,1,183,3.099,4,1.503,0.500,0.696
365,46385646.855,1831,1,1,969,2.713,5,6.006,0.500,1.393
463,46385646.919,2040,1,1,380,2.785,6,2.004,1.108,1.042
426,46385646.974,1507,1,1,568,2.588,7,6.004,0.500,1.695
224,46385647.025,3465,0,0,407,3.243,8,1.010,0.500,1.172
448,46385647.068,2295,0,1,49,2.850,9,6.006,1.436,1.642
393,46385647.120,3581,0,0,103,3.268,1,5.005,0.500,1.370
405,46385647.154,2360,1,1,55,2.885,4,1.502,0.500,0.687
368,46385647.187,2523,1,0,223,3.031,5,6.005,0.500,1.423
485,46385647.224,1664,0,1,250,2.643,6,6.004,1.108,1.104
431,46385647.260,4438,0,1,124,3.329,7,1.003,1.279,1.625
233,46385647.296,81788928,1,0,241,36.221,8,7.904,0.500,1.124
450,46385647.331,1854,1,0,719,2.816,9,8.007,1.436,1.702
396,46385647.366,3082,1,1,470,3.078,1,8.005,0.500,1.432
412,46385647.402,4979,0,1,178,3.420,4,1.503,0.500,0.674
392,46385647.437,4713,0,1,57,3.376,5,8.004,0.500,1.470
491,46385647.478,1202,0,1,754,2.448,6,8.007,1.108,1.212
433,46385647.516,4848,0,1,365,3.399,7,7.003,1.279,1.647
256,46385647.550,4591,1,1,737,3.390,8,3.005,0.500,1.112
453,46385647.602,3904,1,0,777,3.364,9,4.004,1.436,1.676
398,46385647.651,2215,1,1,643,2.841,1,6.005,0.500,1.466
421,46385647.689,2817,0,0,205,3.091,4,2.002,0.500,0.673
399,46385647.724,1316,1,0,758,2.595,5,2.007,0.500,1.435
493,46385647.758,4897,1,1,780,3.443,6,8.004,1.108,1.267
439,46385647.791,2418,1,0,20,3.001,7,0.006,1.279,1.565
259,46385647.825,52428800,0,0,470,30.144,8,84.647,0.500,1.197
455,46385647.858,3160,1,0,916,3.199,9,5.004,1.436,1.671
407,46385647.891,1928,1,1,604,2.747,1,1.004,0.500,1.411
424,46385647.926,3968,0,1,431,3.242,4,3.003,0.500,0.686
408,46385647.960,2905,1,0,893,3.135,5,6.004,0.500,1.459
494,46385647.995,4221,1,0,772,3.427,6,2.004,1.108,1.233
461,46385648.030,3288,1,0,292,3.229,7,3.004,1.279,1.533
311,46385648.062,1993,0,1,650,2.757,8,9.006,0.500,1.301
456,46385648.107,4673,1,1,740,3.404,9,6.005,1.436,1.675
410,46385648.147,4635,1,1,828,3.398,1,2.004,0.500,1.370
432,46385648.182,3838,0,1,753,3.217,4,0.003,0.655,0.652
420,46385648.219,1067,0,1,320,2.381,5,2.004,0.500,1.428
502,46385648.255,81788928,1,0,322,36.221,6,11.660,1.108,1.188
464,46385648.290,1835,0,0,83,2.799,7,7.003,1.279,1.582
319,46385648.325,2173,1,1,296,2.828,8,9.006,0.500,1.395
457,46385648.356,3682,0,0,158,3.289,9,9.005,1.436,1.728
414,46385648.434,65011712,0,1,248,31.785,1,14.232,0.500,1.324
437,46385648.474,2139,1,0,912,2.914,4,4.002,0.655,0.688
429,46385648.520,3270,1,0,220,3.225,5,9.004,1.276,1.497
508,46385648.570,1996,0,1,59,2.758,6,5.005,1.108,1.219
466,46385648.618,2833,1,1,223,3.016,7,8.023,1.279,1.636
332,46385648.653,3332,0,0,747,3.214,8,9.005,0.500,1.465
462,46385648.691,84934656,0,1,581,33.848,9,11.806,1.436,1.659
427,46385648.725,2733,0,0,187,3.069,1,6.005,0.500,1.355
438,46385648.759,4020,0,1,935,3.252,4,1.502,0.655,0.676
430,46385648.797,1150,1,1,344,2.424,5,9.009,1.276,1.608
511,46385648.836,3645,1,1,184,3.206,6,0.004,1.108,1.158
469,46385648.874,1393,0,0,257,2.626,7,9.005,1.279,1.725
337,46385648.927,4309,0,1,568,3.306,8,0.007,0.500,1.392
467,46385648.967,3364,0,1,619,3.119,9,5.007,1.436,1.657
454,46385649.002,2322,1,0,303,2.972,1,2.004,1.131,1.321
441,46385649.044,4095,0,1,124,3.266,4,3.502,0.655,0.696
465,46385649.078,1268,1,1,931,2.482,5,6.004,1.276,1.648
528,46385649.117,3944,1,0,636,3.372,6,4.004,1.108,1.160
478,46385649.152,3039,0,1,287,3.045,7,8.004,1.279,1.770
340,46385649.190,3075,1,1,32,3.076,8,3.004,0.500,1.371
473,46385649.224,2259,0,0,76,2.937,9,2.005,1.436,1.608
472,46385649.261,3165,1,1,117,3.098,1,6.005,1.131,1.352
444,46385649.299,1725,0,1,849,2.665,4,3.502,0.655,0.727
477,46385649.336,2254,1,0,540,2.951,5,5.005,1.276,1.651
532,46385649.380,87031808,1,1,469,36.919,6,111.474,1.108,1.253
490,46385649.431,66060288,1,1,629,34.532,7,60.329,1.279,1.769
351,46385649.469,1189,1,0,109,2.533,8,7.002,0.500,1.441
499,46385649.509,3039,1,0,767,3.169,9,1.003,1.436,1.543
474,46385649.544,1571,0,1,446,2.607,1,1.006,1.131,1.304
445,46385649.587,2671,1,0,639,3.073,4,2.002,0.655,0.723
