req_id,t,size,op,seq,key,pred_ms,assigned,actual_ms,node_scale_before,node_scale_after
318,45809739.341,56623104,0,0,522,1.000,4,157.801,0.500,11.227
320,45809739.355,3170,1,1,663,1.000,5,8.003,0.500,10.548
324,45809739.369,1232,0,1,630,1.000,6,3.007,0.500,30.916
323,45809739.383,2943,1,0,557,1.000,7,3.007,0.500,13.978
332,45809739.397,3332,0,0,747,1.000,8,7.009,0.500,18.180
314,45809739.410,2008,0,1,553,1.000,9,9.010,0.500,27.817
327,45809739.424,4613,0,0,36,1.000,1,3.004,0.500,6.997
325,45809739.438,1265,0,0,871,1.000,3,20.024,0.500,66.911
330,45809739.452,4465,0,1,340,1.000,4,1.008,0.500,10.716
326,45809739.466,2741,0,0,93,1.000,5,2.007,0.500,10.121
328,45809739.480,3979,0,1,291,1.000,6,2.007,0.500,29.470
329,45809739.494,3331,1,1,54,1.000,7,8.008,0.500,13.680
337,45809739.508,4309,0,1,568,1.000,8,6.018,0.500,17.572
334,45809739.523,4920,0,0,541,1.000,9,8.010,0.500,26.826
331,45809739.537,3130,0,0,373,1.000,1,4.008,0.500,6.848
343,45809739.551,2103,1,0,835,1.000,3,16.032,0.500,64.367
340,45809739.564,3075,1,1,32,1.000,4,1.002,0.500,10.230
338,45809739.578,2402,0,1,678,1.000,5,2.004,0.500,9.715
342,45809739.592,68157440,1,0,922,1.000,6,18.754,0.500,28.934
336,45809739.606,82837504,0,0,558,1.000,7,403.326,0.500,33.162
339,45809739.620,2654,0,1,959,1.000,8,7.006,0.500,17.044
335,45809739.634,3399,1,0,684,1.000,9,7.012,0.500,25.836
348,45809739.648,1494,1,0,764,1.000,1,6.004,0.500,6.806
349,45809739.662,2105,0,0,737,1.000,3,24.032,0.500,62.351
347,45809739.676,4318,0,0,95,1.000,4,1.002,0.500,9.769
341,45809739.690,56623104,0,0,188,1.000,5,116.994,0.500,15.079
344,45809739.704,4899,1,0,369,1.000,6,1.010,0.500,27.538
345,45809739.718,1169,1,1,862,1.000,7,2.008,0.500,31.604
351,45809739.732,1189,1,0,109,1.000,8,9.006,0.500,16.642
359,45809739.745,1269,1,0,257,1.000,9,2.010,0.500,24.644
361,45809739.759,4214,0,0,128,1.000,1,0.004,0.500,6.466
357,45809739.773,4985,0,1,367,1.000,3,16.028,0.500,60.034
364,45809739.787,2646,1,1,482,1.000,4,1.502,0.500,9.355
346,45809739.801,1784,1,1,848,1.000,5,5.010,0.500,14.575
352,45809739.815,4363,0,0,463,1.000,6,8.007,0.500,26.562
350,45809739.829,2800,0,0,571,1.000,7,9.005,0.500,30.474
356,45809739.843,1456,1,1,479,1.000,8,7.005,0.500,16.160
360,45809739.856,2549,1,1,58,1.000,9,2.009,0.500,23.513
370,45809739.870,1482,1,0,771,1.000,1,8.004,0.500,6.543
366,45809739.884,2308,0,1,817,1.000,3,16.028,0.500,57.834
369,45809739.898,1421,1,1,208,1.000,4,0.502,0.500,8.913
358,45809739.912,2966,1,1,128,1.000,5,1.005,0.500,13.897
355,45809739.925,2730,0,1,75,1.000,6,0.010,0.500,25.234
354,45809739.940,1578,1,0,81,1.000,7,5.008,0.500,29.201
386,45809739.954,2561,1,0,753,1.000,8,2.008,0.500,15.452
362,45809739.967,1096,0,0,613,1.000,9,6.007,0.500,22.637
388,45809739.981,4770,1,1,219,1.000,1,3.004,0.500,6.366
374,45809739.995,2102,0,1,934,1.000,3,20.056,0.500,55.945
372,45809740.009,4428,0,0,161,1.000,4,3.002,0.500,8.617
365,45809740.023,1831,1,1,969,1.000,5,1.004,0.500,13.252
368,45809740.036,2523,1,0,223,1.000,6,6.008,0.500,24.273
383,45809740.050,3812,0,0,470,1.000,7,8.008,0.500,28.141
395,45809740.071,53477376,1,0,567,1.000,8,9.475,0.500,15.153
371,45809740.085,2321,0,0,355,1.000,9,3.013,0.500,21.656
389,45809740.098,1132,1,1,43,1.000,1,7.003,0.500,6.397
378,45809740.112,3620,1,1,397,1.000,3,8.028,0.500,53.549
376,45809740.126,1252,1,1,594,1.000,4,0.003,0.500,8.186
377,45809740.140,1745,1,1,272,1.000,5,8.004,0.500,12.990
381,45809740.154,2413,1,0,400,1.000,6,8.010,0.500,23.460
397,45809740.174,3120,0,1,848,1.000,7,6.007,0.500,27.035
410,45809740.188,4635,1,1,828,1.000,8,3.008,0.500,14.546
375,45809740.201,3643,0,1,188,1.000,9,3.006,0.500,20.724
393,45809740.215,3581,0,0,103,1.000,1,7.004,0.500,6.428
387,45809740.229,1410,0,0,781,1.000,3,20.028,0.500,51.873
379,45809740.243,2812,0,0,776,1.000,4,3.002,0.500,7.927
390,45809740.262,4851,0,0,878,1.000,5,9.004,0.500,12.791
391,45809740.276,3810,1,0,38,1.000,6,7.008,0.500,22.637
409,45809740.295,3460,0,0,918,1.000,7,6.007,0.500,25.983
413,45809740.309,1986,0,0,672,1.000,8,9.005,0.500,14.269
384,45809740.334,1632,0,1,110,1.000,9,6.013,0.500,19.988
